timestamp,room,sensor,measurement
2025-11-16 13:19:07,2,temp,19
2025-11-16 13:19:07,1,temp,35
2025-11-16 13:19:08,1,temp,28
2025-11-16 13:19:08,2,temp,17
2025-11-16 13:19:09,1,temp,36
2025-11-16 13:19:09,2,temp,23
2025-11-16 13:19:10,1,hum,54
2025-11-16 13:19:10,2,hum,33
2025-11-16 13:19:10,1,hum,51
2025-11-16 13:19:11,2,hum,37
2025-11-16 13:19:11,1,hum,58
2025-11-16 13:19:12,1,temp,25
2025-11-16 13:19:12,2,temp,20
2025-11-16 13:19:12,2,temp,21
2025-11-16 13:19:12,1,temp,37
2025-11-16 13:19:12,2,temp,20
2025-11-16 13:19:13,1,temp,34
2025-11-16 13:19:13,1,temp,26
2025-11-16 13:19:13,2,temp,16
2025-11-16 13:19:14,2,hum,38
2025-11-16 13:19:14,1,hum,55
2025-11-16 13:19:14,1,hum,58
2025-11-16 13:19:15,2,hum,33
2025-11-16 13:19:15,2,hum,37
2025-11-16 13:19:15,1,hum,57
2025-11-16 13:19:15,2,hum,40
2025-11-16 13:19:15,1,hum,50
2025-11-16 13:19:16,1,temp,35
2025-11-16 13:19:16,2,temp,23
2025-11-16 13:19:16,2,temp,18
2025-11-16 13:19:16,2,temp,17
2025-11-16 13:19:16,1,temp,28
2025-11-16 13:19:16,1,temp,31
2025-11-16 13:19:17,1,temp,33
2025-11-16 13:19:17,2,temp,17
2025-11-16 13:19:18,2,hum,32
2025-11-16 13:19:18,1,hum,50
2025-11-16 13:19:18,1,hum,60
2025-11-16 13:19:18,2,hum,31
2025-11-16 13:19:18,2,hum,33
2025-11-16 13:19:19,1,hum,59
2025-11-16 13:19:19,2,hum,34
2025-11-16 13:19:19,1,hum,54
2025-11-16 13:19:20,1,temp,35
2025-11-16 13:19:20,1,temp,35
2025-11-16 13:19:20,1,temp,25
2025-11-16 13:19:20,2,temp,22
2025-11-16 13:19:20,2,temp,18
2025-11-16 13:19:20,2,temp,22
2025-11-16 13:19:21,1,temp,33
2025-11-16 13:19:21,2,temp,18
2025-11-16 13:19:22,2,hum,34
2025-11-16 13:19:22,1,hum,56
2025-11-16 13:19:22,1,hum,59
2025-11-16 13:19:22,2,hum,40
2025-11-16 13:19:22,2,hum,31
2025-11-16 13:19:23,1,hum,55
2025-11-16 13:19:23,2,hum,30
2025-11-16 13:19:23,1,hum,55
2025-11-16 13:19:24,1,temp,37
2025-11-16 13:19:24,1,temp,33
2025-11-16 13:19:24,1,temp,31
2025-11-16 13:19:24,2,temp,22
2025-11-16 13:19:24,2,temp,20
2025-11-16 13:19:24,2,temp,16
2025-11-16 13:19:25,1,temp,36
2025-11-16 13:19:25,2,temp,23
2025-11-16 13:19:26,2,hum,30
2025-11-16 13:19:26,2,hum,39
2025-11-16 13:19:26,2,hum,34
2025-11-16 13:19:26,1,hum,54
2025-11-16 13:19:26,1,hum,54
2025-11-16 13:19:27,1,hum,55
2025-11-16 13:19:27,2,hum,35
2025-11-16 13:19:27,1,hum,58
2025-11-16 13:19:28,1,temp,26
2025-11-16 13:19:28,2,temp,16
2025-11-16 13:19:28,2,temp,17
2025-11-16 13:19:28,2,temp,21
